Country,Year,Life_expectancy
Hungary,2011,74.8
Hungary,2010,74.5
Hungary,2009,74.2
Hungary,2008,74.1
Hungary,2007,73.5
Hungary,2006,73.4
Hungary,2005,72.9
Hungary,2004,72.9
Hungary,2003,72.5
Hungary,2002,72.5
Hungary,2001,72.3
Hungary,2000,71.7
Iceland,2015,82.7
Iceland,2014,82.5
Iceland,2013,82.4
Iceland,2012,82.5
Iceland,2011,82.1
Iceland,2010,81.8
Iceland,2009,81.6
Iceland,2008,81.4
Iceland,2007,81.3
Iceland,2006,81.1
Iceland,2005,81.0
Iceland,2004,88.0
Iceland,2003,87.0
Iceland,2002,84.0
Iceland,2001,80.0
Iceland,2000,79.7
Ireland,2015,81.4
Ireland,2014,81.2
Ireland,2013,81.0
Ireland,2012,85.0
Ireland,2011,84.0
Ireland,2010,86.0
Ireland,2009,79.7
Ireland,2008,79.8
Ireland,2007,79.5
Ireland,2006,79.0
Ireland,2005,78.7
Ireland,2004,78.3
Ireland,2003,78.0
Ireland,2002,77.4
Ireland,2001,77.0
Ireland,2000,76.4
Italy,2015,82.7
Italy,2014,82.5
Italy,2013,82.3
Italy,2012,82.0
Italy,2011,82.0
Italy,2010,81.8
Italy,2009,81.6
Italy,2008,81.5
Italy,2007,81.3
Italy,2006,81.2
Italy,2005,88.0
Italy,2004,89.0
Italy,2003,79.9
Italy,2002,80.0
Italy,2001,79.8
Italy,2000,79.4
Japan,2015,83.7
Japan,2014,83.5
Japan,2013,83.5
Japan,2012,83.3
Japan,2011,82.5
Japan,2010,83.0
Japan,2009,83.0
Japan,2008,82.7
Japan,2007,82.6
Japan,2006,82.4
Japan,2005,82.0
Japan,2004,82.1
Japan,2003,81.9
Japan,2002,81.8
Japan,2001,81.5
Japan,2000,81.1
Latvia,2015,74.6
Latvia,2014,74.4
Latvia,2013,74.1
Latvia,2012,73.8
Latvia,2011,73.6
Latvia,2010,72.8
Latvia,2009,72.6
Latvia,2008,71.9
Latvia,2007,78.0
Latvia,2006,75.0
Latvia,2005,76.0
Latvia,2004,71.0
Latvia,2003,78.0
Latvia,2002,73.0
Latvia,2001,69.9
Latvia,2000,71.0
Lithuania,2015,73.6
Lithuania,2014,73.4
Lithuania,2013,73.0
Lithuania,2012,73.0
Lithuania,2011,72.8
Lithuania,2010,72.4
Lithuania,2009,72.2
Lithuania,2008,71.1
Lithuania,2007,72.0
Lithuania,2006,76.0
Lithuania,2005,78.0
Lithuania,2004,71.6
Lithuania,2003,71.6
Lithuania,2002,71.4
Lithuania,2001,71.2
Lithuania,2000,71.6
Luxembourg,2015,82.0
Luxembourg,2014,81.7
Luxembourg,2013,81.4
Luxembourg,2012,81.1
Luxembourg,2011,88.0
Luxembourg,2010,86.0
Luxembourg,2009,83.0
Luxembourg,2008,80.0
Luxembourg,2007,79.7
Luxembourg,2006,79.4
Luxembourg,2005,78.8
Luxembourg,2004,78.7
Luxembourg,2003,78.6
Luxembourg,2002,78.3
Luxembourg,2001,78.0
Luxembourg,2000,77.8
Malta,2015,81.7
Malta,2014,81.4
Malta,2013,81.1
Malta,2012,81.0
Malta,2011,87.0
Malta,2010,83.0
Malta,2009,82.0
Malta,2008,80.0
Malta,2007,79.6
Malta,2006,79.3
Malta,2005,79.0
Malta,2004,78.7
Malta,2003,78.5
Malta,2002,78.2
Malta,2001,77.8
Malta,2000,77.5
Netherlands,2015,81.9
Netherlands,2014,81.7
Netherlands,2013,81.4
Netherlands,2012,81.1
Netherlands,2011,81.1
Netherlands,2010,88.0
Netherlands,2009,86.0
Netherlands,2008,83.0
Netherlands,2007,82.0
Netherlands,2006,79.8
Netherlands,2005,79.4
Netherlands,2004,79.2
Netherlands,2003,78.7
Netherlands,2002,78.4
Netherlands,2001,78.3
Netherlands,2000,78.1
New Zealand,2015,81.6
New Zealand,2014,81.5
New Zealand,2013,81.3
New Zealand,2012,81.1
New Zealand,2011,86.0
New Zealand,2010,89.0
New Zealand,2009,85.0
New Zealand,2008,81.0
New Zealand,2007,81.0
New Zealand,2006,79.9
New Zealand,2005,79.9
New Zealand,2004,79.2
New Zealand,2003,79.1
New Zealand,2002,78.7
New Zealand,2001,78.5
New Zealand,2000,78.6
Norway,2015,81.8
Norway,2014,81.6
Norway,2013,81.5
Norway,2012,81.3
Norway,2011,81.1
Norway,2010,81.0
Norway,2009,89.0
Norway,2008,86.0
Norway,2007,85.0
Norway,2006,84.0
Norway,2005,81.0
Norway,2004,79.8
Norway,2003,79.4
Norway,2002,78.9
Norway,2001,78.8
Norway,2000,78.5
Poland,2015,77.5
Poland,2014,77.3
Poland,2013,77.1
Poland,2012,76.8
Poland,2011,76.7
Poland,2010,76.3
Poland,2009,75.7
Poland,2008,75.5
Poland,2007,75.3
Poland,2006,75.2
Poland,2005,75.0
Poland,2004,74.9
Poland,2003,74.7
Poland,2002,74.5
Poland,2001,74.2
Poland,2000,73.7
Portugal,2015,81.1
Portugal,2014,89.0
Portugal,2013,86.0
Portugal,2012,83.0
Portugal,2011,82.0
Portugal,2010,79.6
Portugal,2009,79.3
Portugal,2008,79.0
Portugal,2007,78.7
Portugal,2006,78.5
Portugal,2005,77.7
Portugal,2004,78.0
Portugal,2003,77.3
Portugal,2002,77.2
Portugal,2001,76.9
Portugal,2000,76.6
Romania,2015,75.0
Romania,2014,74.8
Romania,2013,74.6
Romania,2012,74.4
Romania,2011,74.3
Romania,2010,73.4
Romania,2009,73.1
Romania,2008,73.1
Romania,2007,72.9
Romania,2006,72.5
Romania,2005,71.9
Romania,2004,71.7
Romania,2003,71.1
Romania,2002,77.0
Romania,2001,78.0
Romania,2000,77.0
Singapore,2015,83.1
Singapore,2014,82.9
Singapore,2013,82.7
Singapore,2012,82.5
Singapore,2011,82.2
Singapore,2010,82.0
Singapore,2009,81.7
Singapore,2008,81.4
Singapore,2007,81.1
Singapore,2006,87.0
Singapore,2005,82.0
Singapore,2004,79.7
Singapore,2003,79.3
Singapore,2002,79.0
Singapore,2001,78.7
Singapore,2000,78.3
Slovakia,2015,76.7
Slovakia,2014,76.4
Slovakia,2013,76.1
Slovakia,2012,75.8
Slovakia,2011,75.6
Slovakia,2010,75.1
Slovakia,2009,75.0
Slovakia,2008,74.7
Slovakia,2007,74.4
Slovakia,2006,74.3
Slovakia,2005,74.0
Slovakia,2004,74.1
Slovakia,2003,73.8
Slovakia,2002,73.7
Slovakia,2001,73.3
Slovakia,2000,73.0
Slovenia,2015,88.0
Slovenia,2014,87.0
Slovenia,2013,85.0
Slovenia,2012,82.0
Slovenia,2011,79.8
Slovenia,2010,79.5
Slovenia,2009,79.1
Slovenia,2008,78.9
Slovenia,2007,78.3
Slovenia,2006,78.1
Slovenia,2005,77.5
Slovenia,2004,77.2
Slovenia,2003,76.5
Slovenia,2002,76.6
Slovenia,2001,76.2
Slovenia,2000,76.0
Spain,2015,82.8
Spain,2014,82.6
Spain,2013,82.4
Spain,2012,82.0
Spain,2011,82.1
Spain,2010,81.9
Spain,2009,81.6
Spain,2008,81.3
Spain,2007,89.0
Spain,2006,88.0
Spain,2005,81.0
Spain,2004,81.0
Spain,2003,79.4
Spain,2002,79.5
Spain,2001,79.4
Spain,2000,79.1
Sweden,2015,82.4
Sweden,2014,82.3
Sweden,2013,81.9
Sweden,2012,81.7
Sweden,2011,81.7
Sweden,2010,81.5
Sweden,2009,81.4
Sweden,2008,81.1
Sweden,2007,89.0
Sweden,2006,88.0
Sweden,2005,85.0
Sweden,2004,83.0
Sweden,2003,82.0
Sweden,2002,79.9
Sweden,2001,79.8
Sweden,2000,79.6
Switzerland,2015,83.4
Switzerland,2014,83.2
Switzerland,2013,83.0
Switzerland,2012,82.7
Switzerland,2011,82.6
Switzerland,2010,82.3
Switzerland,2009,82.1
Switzerland,2008,82.0
Switzerland,2007,81.7
Switzerland,2006,81.5
Switzerland,2005,81.1
Switzerland,2004,81.0
Switzerland,2003,85.0
Switzerland,2002,84.0
Switzerland,2001,82.0
Switzerland,2000,79.7
England,2015,81.2
England,2014,81.0
England,2013,87.0
England,2012,86.0
England,2011,86.0
England,2010,82.0
England,2009,81.0
England,2008,79.6
England,2007,79.5
England,2006,79.3
England,2005,79.0
England,2004,78.8
England,2003,78.3
England,2002,78.2
England,2001,78.0
England,2000,77.8
USA,2015,79.3
USA,2014,79.1
USA,2013,78.9
USA,2012,78.8
USA,2011,78.7
USA,2010,78.7
USA,2009,78.5
USA,2008,78.2
USA,2007,78.1
USA,2006,77.8
USA,2005,77.5
USA,2004,77.5
USA,2003,77.2
USA,2002,77.0
USA,2001,76.9
USA,2000,76.8
