Status,Life_expectancy,Adult Mortality, BMI ,Income composition of resources,Schooling
Developing,67.5,19.0,3.9,0.565,11.2
Developing,74.5,88.0,68.2,0.845,16.1
Developing,66.7,188.0,24.3,0.491,9.5
Developing,75.6,121.0,6.0,0.775,14.4
Developing,73.2,168.0,37.4,0.781,14.1
Developing,51.0,413.0,24.4,0.431,9.5
Developed,83.1,55.0,33.2,0.924,15.4
Developed,76.7,19.0,59.1,0.842,15.0
Developed,88.0,74.0,6.1,0.888,17.3
Developing,69.2,177.0,5.5,0.514,9.6
Developing,55.0,312.0,24.3,,
Developing,62.9,328.0,51.1,0.665,13.0
Developing,57.3,332.0,,0.421,4.9
Developed,82.8,56.0,66.6,0.882,17.7
Developing,74.9,138.0,23.4,0.764,14.0
Developing,64.1,225.0,,0.488,7.2
Developing,71.6,176.0,58.3,0.723,12.7
Developing,58.9,373.0,32.3,0.541,11.4
Developed,82.4,53.0,59.5,0.909,15.9
Developed,83.4,49.0,57.4,0.938,16.0
Developing,64.5,293.0,57.1,0.553,9.0
Developing,69.7,161.0,4.7,0.625,11.3
Developing,74.9,148.0,33.6,0.738,13.6
Developing,75.7,12.0,6.3,0.746,12.9
Developing,68.3,152.0,17.4,0.603,12.5
Developing,59.9,287.0,24.3,0.484,12.0
Developing,73.5,133.0,75.2,0.718,14.3
Developing,71.2,17.0,47.1,0.779,12.7
Developing,75.3,1.0,61.2,0.723,14.6
Developing,75.8,16.0,66.1,0.764,14.5
Developing,66.3,215.0,48.6,0.688,10.8
Developing,62.3,291.0,18.5,0.488,10.0
Developing,71.3,195.0,61.3,0.748,15.3
Developing,77.1,75.0,64.2,0.836,13.3
Developed,81.2,69.0,66.6,,
Developing,61.8,279.0,23.8,,
Developed,79.3,13.0,69.6,,
Developing,77.0,116.0,64.0,0.794,15.5
Developing,69.4,184.0,44.7,0.697,12.1
Developing,72.0,13.0,53.3,0.598,10.8
Developing,74.1,157.0,62.1,0.769,14.3
Developing,76.0,127.0,17.5,0.678,12.6
Developing,65.7,224.0,41.3,0.499,9.0
Developing,61.8,33.0,23.4,0.576,12.5
Developing,67.0,336.0,31.8,0.507,10.3
